@relation DATASET
@attribute f0 real
@attribute f1 real
@attribute f2 real
@attribute f3 real
@attribute f4 real
@attribute f5 real
@attribute f6 real
@attribute f7 real
@attribute f8 real
@attribute f9 real
@attribute f10 real
@attribute f11 real
@attribute f12 real
@attribute f13 real
@attribute f14 real
@attribute f15 real
@attribute f16 real
@attribute f17 real
@attribute f18 real
@attribute f19 real
@attribute f20 real
@attribute f21 real
@attribute f22 real
@attribute f23 real
@attribute f24 real
@attribute f25 real
@attribute f26 real
@attribute f27 real
@attribute f28 real
@attribute f29 real
@attribute f30 real
@attribute f31 real
@attribute f32 real
@attribute f33 real
@attribute f34 real
@attribute f35 real
@attribute CLASS {car,noncar}

@data
0.861,-0.082,0.347,0.049,0.185,-0.681,0.021,-0.177,0.546,-0.108,0.529,0.016,0.685,-0.386,0.393,0.1,-0.225,-0.004,-0.0,0.689,-0.53,-0.602,-0.481,0.097,0.629,0.101,0.205,0.388,0.127,-0.265,-0.117,0.269,-0.962,0.109,-0.085,-0.206,noncar
-0.016,-0.447,-1.436,-0.214,-0.513,-0.098,0.172,0.062,-0.215,0.424,-0.123,0.0,0.158,-0.356,0.136,-0.004,-0.611,0.69,-0.391,-1.378,-0.37,-0.036,-0.413,-0.008,-0.057,-1.589,-1.531,0.0,-0.077,-0.229,0.132,0.941,1.309,-0.037,1.125,-0.383,car
0.003,2.104,1.481,0.313,1.326,0.527,0.001,0.062,-1.482,0.472,0.529,-0.893,0.025,1.569,-1.4,0.519,1.704,0.893,0.093,1.653,1.222,-0.0,1.625,-0.423,-0.0,0.808,-0.462,0.0,1.753,-0.911,0.04,-0.739,0.173,-0.363,0.318,0.002,car
-0.0,1.132,1.643,-0.439,1.136,0.498,-0.46,0.749,0.039,-0.237,0.529,-0.126,-0.148,1.298,-1.272,-0.999,1.318,0.159,0.977,1.86,0.904,-0.0,1.28,0.043,0.0,1.361,0.072,-0.324,0.737,0.005,0.072,0.157,-0.314,0.004,-0.219,-0.02,car
-0.02,-0.568,-0.788,0.01,-1.527,0.018,-0.145,-0.954,-0.468,-0.02,-0.341,0.291,0.018,-1.409,1.673,-0.135,-1.382,0.201,0.529,-0.551,-1.358,-0.289,-1.216,-0.0,-0.782,-0.759,-1.264,-0.028,0.127,-0.373,-0.001,-0.963,1.633,-0.12,1.394,-0.03,noncar
0.147,-0.811,0.347,0.126,-0.069,-0.968,0.051,-0.596,0.039,0.999,0.094,-0.404,0.001,-0.657,0.521,0.001,-0.611,-0.914,-0.01,0.276,-0.561,-0.552,-0.65,-0.933,0.535,0.193,-0.062,0.037,-1.297,-0.0,0.452,-0.739,-0.151,-0.121,0.318,-0.048,noncar
-0.425,-0.204,0.184,0.383,-0.196,0.628,0.004,0.211,0.292,0.664,-0.123,-0.72,-0.021,-0.206,0.008,0.0,-0.225,-0.001,0.001,0.069,-0.179,0.001,-0.249,0.073,0.002,0.101,-0.73,0.626,-0.89,-0.01,0.002,-0.291,0.335,-0.78,0.318,0.008,car
-0.493,-1.054,-0.464,0.532,-1.147,-0.677,0.996,-1.432,-0.849,0.615,-0.341,-0.198,0.208,-0.597,0.649,0.607,-0.611,-0.795,-0.0,-0.138,-0.689,-0.106,-0.662,-0.237,0.347,-0.083,1.675,0.216,-1.093,-0.694,0.651,-0.739,-1.611,0.388,-1.833,-0.182,noncar
-0.235,-0.932,0.184,-0.759,-0.766,0.283,-0.002,-0.596,0.419,0.921,-0.123,-0.083,0.091,-0.597,0.521,0.08,-0.611,0.364,-0.508,-0.138,-0.593,-0.318,-0.616,-0.0,-0.144,0.316,0.606,0.041,-0.077,-0.742,-0.123,-0.739,-0.962,0.408,-1.026,-0.273,noncar
0.633,0.889,1.805,-0.001,1.136,0.122,-0.001,-0.028,-0.849,-0.779,0.529,-0.002,0.0,1.358,-1.272,-0.134,1.318,0.916,0.002,1.86,0.968,0.29,1.364,-0.066,0.061,1.515,0.205,-0.353,-0.89,-0.022,-0.067,-1.075,-0.638,0.001,-0.488,0.118,car
-0.41,0.039,-0.95,-0.029,0.438,-0.212,-0.427,0.749,0.039,-0.836,0.094,0.395,0.063,0.095,-0.376,0.093,0.161,0.335,0.505,-0.896,0.076,0.332,0.023,0.397,-0.231,-1.65,-1.264,0.141,-0.483,-0.674,0.835,1.165,1.958,-0.212,1.797,-0.0,car
0.181,-0.932,-1.274,-0.434,-0.83,-0.029,0.706,-0.566,0.166,-0.001,-0.123,0.307,0.183,-0.928,0.905,-0.007,-0.996,0.006,0.204,-0.964,-0.816,0.007,-0.882,0.003,0.029,-1.558,-0.195,0.038,-1.093,0.092,0.0,-0.739,0.011,0.871,-0.085,0.119,noncar
0.872,-0.447,-0.626,0.096,-0.703,-0.065,0.776,0.002,0.799,-0.441,-0.341,-0.167,0.0,-0.567,0.393,0.256,-0.611,-0.002,0.048,-0.689,-0.434,-0.075,-0.588,-0.445,-0.721,-0.544,-0.195,0.018,-0.687,-0.925,-0.001,0.605,0.498,-0.332,0.184,0.604,noncar
0.833,1.253,0.671,-0.007,0.438,0.008,-0.005,-0.028,-0.975,0.002,-0.993,0.01,0.368,1.298,-1.272,0.028,1.318,0.001,-0.066,0.345,1.573,0.037,1.37,0.2,0.997,0.716,0.74,-0.0,-1.093,0.42,0.103,1.165,0.173,0.137,-0.892,-0.032,noncar
-0.225,-0.568,-1.436,0.23,-0.64,0.183,-0.011,-0.835,-0.722,0.433,-0.341,-0.159,0.239,-0.928,0.905,-0.202,-0.996,-0.066,-0.151,-1.516,-0.816,0.011,-0.871,-0.46,0.0,-1.374,-0.062,-0.08,-1.093,0.0,-0.074,-1.299,-0.314,-0.037,-0.488,0.314,car
-0.078,-0.447,-0.95,0.028,0.248,-0.053,-0.421,0.002,0.039,-0.406,-0.341,-0.0,0.033,-0.206,0.008,-0.07,-0.225,0.0,-0.508,-1.171,0.171,0.67,-0.294,0.022,0.001,-0.851,0.205,0.024,-1.093,-0.044,-0.001,1.053,-0.638,-0.939,-0.623,0.03,car
0.049,-1.175,-0.14,-0.467,-0.323,0.04,-0.0,-0.566,-0.342,0.903,-0.775,0.001,0.251,-0.507,0.393,0.354,-0.611,0.944,-0.503,-0.344,-0.434,-0.383,-0.543,0.405,0.005,0.071,0.606,0.255,0.33,-0.058,-0.056,-1.187,-0.962,-0.2,-1.16,0.763,car
0.178,1.253,1.967,0.58,1.326,-0.018,0.027,1.406,0.926,-0.625,0.529,0.007,0.0,1.509,-1.4,0.007,1.704,-0.591,-0.243,1.929,1.254,-0.179,1.517,0.086,0.025,1.361,0.072,-0.453,-0.483,0.008,-0.192,-1.075,-0.476,0.08,0.049,0.123,car
0.593,-1.297,-0.14,0.173,-0.893,0.011,0.201,-0.745,-0.088,-0.001,-0.123,0.039,-0.001,-0.657,0.521,-0.405,-0.611,-0.143,0.006,-0.344,-0.593,0.014,-0.65,0.0,-0.164,0.163,0.205,0.898,-1.093,-0.159,-0.004,-1.299,-0.638,0.001,-0.623,0.166,noncar
0.672,-1.054,-0.95,-0.099,-1.591,0.823,-0.215,-1.283,-0.722,0.972,-0.558,0.011,0.88,-1.65,2.185,-0.042,-1.382,-0.446,-0.042,-0.896,-1.74,0.867,-1.386,-0.006,0.007,-0.913,-1.13,-0.14,2.16,-0.213,0.001,-0.627,1.309,0.131,0.856,0.012,noncar
0.146,0.646,1.643,0.012,1.199,0.753,0.349,1.107,0.039,0.428,0.963,0.943,0.39,1.599,-1.4,-0.0,1.704,0.465,0.159,2.205,1.159,-0.533,1.596,-0.121,-0.009,1.177,-0.195,0.837,-0.89,0.009,-0.196,-1.075,-0.476,0.072,0.049,0.0,car
0.005,-0.69,-0.14,0.451,0.185,-0.008,-0.001,-0.895,-0.722,0.713,0.529,-0.373,-0.014,-0.356,0.265,0.0,-0.225,0.354,0.0,0.482,-0.402,0.332,-0.435,0.167,-0.01,0.009,0.473,-0.283,-0.28,-0.002,0.548,0.381,-0.8,0.126,-0.085,-0.768,noncar
0.165,0.768,0.833,0.184,-0.069,0.273,-0.136,0.838,0.673,0.0,-0.558,0.086,-0.98,0.516,-0.888,-0.007,0.547,-0.5,-0.946,0.689,0.553,0.033,0.516,0.09,0.002,0.716,0.205,0.05,-0.077,0.002,0.763,-1.299,1.309,-0.0,0.318,0.93,noncar
0.622,-1.54,-0.14,0.593,-0.64,0.28,0.505,-0.895,-0.215,-0.182,-0.558,0.311,0.667,-0.476,0.393,-0.168,-0.611,0.001,-0.029,-0.138,-0.275,-0.199,-0.526,-0.505,-0.022,0.101,1.14,-0.004,-1.093,0.015,0.112,0.269,-1.125,-0.004,-1.295,0.085,noncar
0.001,-0.932,-0.626,-0.416,-1.02,0.21,0.98,-1.074,-0.722,0.023,-0.558,0.869,-0.798,-0.988,1.033,0.555,-0.996,-0.979,-0.14,-0.827,-1.071,-0.108,-0.939,0.241,0.151,-0.39,0.205,0.654,-0.28,0.2,0.972,0.157,-0.962,-0.002,-0.892,-0.262,car
0.309,-0.082,-0.626,0.162,-0.196,-0.248,0.378,-0.297,0.166,0.0,-0.123,-0.514,-0.057,-0.747,0.649,-0.0,-0.611,0.0,-0.151,0.138,-0.753,0.013,-0.741,-0.058,0.357,-1.251,-0.73,0.159,-0.483,0.137,-0.0,-0.403,0.984,-0.737,0.99,-0.0,noncar
-0.001,1.618,1.481,-0.084,1.009,-0.0,-0.265,1.227,0.546,-0.003,0.529,0.272,-0.066,1.479,-1.272,-0.015,1.318,-0.057,0.286,1.447,1.031,-0.128,1.495,-0.044,0.857,1.269,-0.195,-0.268,1.55,-0.274,0.124,-1.411,-0.151,-0.253,0.184,0.125,car
-0.172,0.039,-1.598,0.012,-1.02,-0.019,0.761,-0.655,0.039,0.008,0.094,-0.995,0.988,-1.138,1.161,-0.103,-0.996,-0.002,0.031,-1.447,-0.944,0.324,-1.03,-0.003,0.0,-1.834,-0.863,-0.075,0.33,-0.957,-0.086,-0.627,1.147,-0.026,0.722,0.292,noncar
0.071,1.375,1.481,0.56,1.516,-0.823,0.645,1.376,0.799,0.009,0.311,-0.0,-0.006,1.178,-1.144,-0.035,1.318,-0.478,0.061,1.24,0.904,-0.364,1.132,0.01,0.47,1.33,-0.462,-0.051,1.55,-0.112,-0.209,1.165,0.011,0.037,0.453,-0.001,car
0.0,-0.932,-0.626,0.194,-1.147,0.001,-0.233,-0.626,-0.088,0.008,-0.775,0.402,0.244,-0.567,0.521,-0.915,-0.611,0.281,-0.022,-0.689,-0.753,-0.018,-0.605,0.402,0.0,-0.052,1.007,0.245,-0.28,0.13,-0.201,-0.515,-1.125,-0.016,-1.429,0.636,car
0.685,-1.054,-1.598,-0.029,-2.225,0.001,0.125,-1.761,-0.849,0.585,-1.21,-0.619,-0.395,-1.559,2.057,0.064,-1.382,-0.756,-0.002,-1.791,-1.676,-0.195,-1.341,0.101,-0.721,-1.097,2.209,-0.269,-0.28,-0.179,-0.024,-0.403,-1.449,0.032,-1.564,-0.051,noncar
-0.069,-1.054,-1.923,-0.415,-2.669,-0.246,0.532,-1.612,-0.595,-0.645,-1.21,-0.989,-0.578,-1.71,2.569,0.998,-1.382,0.364,-0.01,-1.998,-1.867,0.567,-1.448,0.035,0.677,-1.466,1.808,-0.65,1.143,0.027,-0.266,0.941,-1.287,-0.468,-1.698,-0.0,car
0.025,-1.54,-0.14,0.267,-0.893,-0.179,0.001,-1.462,-1.102,0.77,-0.558,0.0,0.024,-0.537,0.521,0.167,-0.611,0.01,-0.192,-0.069,-0.593,0.036,-0.605,-0.173,0.936,0.101,1.808,0.742,-0.483,0.204,0.191,-0.851,-1.611,0.224,-1.698,-0.333,noncar
-0.003,0.768,1.157,-0.072,1.389,-0.406,0.021,0.599,-0.342,-0.004,0.311,-0.67,-0.31,1.178,-1.144,0.574,1.318,0.0,0.688,1.033,0.999,0.027,1.144,-0.307,-0.249,0.685,-0.329,-0.111,-1.093,0.008,0.003,1.053,-0.314,-0.066,0.318,-0.003,car
0.03,-0.082,-0.464,-0.087,-1.147,-0.093,-0.256,-0.327,0.799,-0.0,0.094,-0.031,-0.69,-1.048,1.033,-0.382,-0.996,-0.155,0.196,-0.413,-0.816,0.026,-0.973,0.616,-0.0,-0.145,-0.195,-0.74,0.127,0.017,-0.318,0.045,0.498,0.1,0.722,0.436,noncar
0.879,-0.447,0.509,-0.0,-0.259,-0.043,0.118,-1.044,-0.722,-0.102,0.529,-0.243,-0.167,-0.266,0.265,-0.832,-0.225,0.1,-0.168,1.309,-0.625,-0.159,-0.418,0.012,-0.334,0.316,0.473,-0.082,-1.093,0.153,0.212,0.157,-1.125,0.087,-0.488,-0.827,noncar
-0.246,0.282,-1.274,0.354,-0.513,0.113,0.793,0.898,1.56,-0.152,-0.775,0.208,-0.343,-0.115,-0.248,0.496,-0.225,-0.195,0.622,-1.378,-0.02,-0.001,-0.118,0.721,0.038,-1.189,-0.062,-0.153,-1.093,0.078,-0.033,-1.075,1.147,0.002,0.587,-0.209,noncar
-0.39,-1.054,0.022,0.0,-1.084,0.206,0.477,-1.223,-0.722,0.315,-0.123,0.113,0.002,-0.537,0.521,0.031,-0.611,-0.273,0.097,-0.207,-0.593,-0.145,-0.611,-0.015,-0.419,0.347,1.14,0.0,-1.093,0.0,-0.018,-0.291,-1.611,0.415,-1.564,0.142,noncar
0.189,0.768,1.643,-0.69,1.199,-0.185,-0.341,0.599,-0.595,0.087,0.311,0.927,0.071,1.599,-1.4,0.018,1.704,-0.17,-0.205,1.998,1.159,-0.07,1.647,-0.01,0.016,1.115,-0.195,-0.002,0.127,0.061,0.256,0.493,-0.151,0.003,0.184,-0.761,car
-0.167,-1.783,0.347,-0.093,-0.513,0.06,-0.059,-0.835,-0.088,-0.253,-0.341,-0.327,0.75,-0.476,0.265,-0.003,-0.611,0.021,0.0,0.069,-0.434,-0.017,-0.515,-0.005,0.0,0.747,0.606,0.787,-0.077,0.055,0.005,-0.291,-0.962,-0.734,-0.892,0.102,noncar
-0.046,-0.568,-1.436,0.098,-0.323,0.15,0.403,0.091,0.039,-0.0,-0.123,-0.525,0.124,-0.356,0.136,-0.552,-0.611,0.0,0.64,-1.584,-0.466,0.516,-0.413,0.0,-0.01,-1.496,-1.264,0.018,-0.28,-0.049,0.153,1.053,1.471,0.303,1.259,0.035,car
-0.995,-0.082,0.022,0.0,-0.576,-0.957,0.025,-0.148,-0.342,0.134,-0.341,-0.498,0.011,-0.296,0.136,0.03,-0.225,0.003,0.114,-0.138,-0.211,0.006,-0.345,-0.814,-0.159,0.409,-0.997,-0.137,0.94,-0.909,-0.438,0.269,0.984,0.479,0.722,-0.03,car
0.005,-1.054,-0.464,0.696,-1.464,-0.908,0.595,-1.104,-0.468,-0.704,-0.341,-0.001,0.005,-0.597,0.649,-0.442,-0.611,-0.119,-0.031,-0.275,-0.721,0.763,-0.679,-0.044,0.347,-0.083,1.407,0.788,0.33,0.476,-0.564,-0.963,-1.611,-0.227,-1.833,0.989,noncar
0.19,0.889,1.643,-0.758,1.643,-0.212,0.003,1.764,0.926,0.021,0.746,0.06,0.255,1.389,-1.272,-0.152,1.318,-0.981,0.073,1.378,1.286,-0.17,1.381,0.462,0.21,1.207,-0.195,0.002,-0.89,0.033,-0.024,0.381,-0.151,0.02,0.453,0.004,car
-0.004,-1.054,0.347,-0.508,-0.449,-0.82,-0.188,-1.432,-1.102,-0.647,0.094,-0.969,0.019,-0.356,0.393,-0.01,-0.225,0.64,-0.002,1.171,-0.657,-0.552,-0.464,0.254,0.012,0.04,0.606,-0.003,-1.093,-0.221,0.133,-0.627,-1.125,-0.0,-0.623,-0.1,noncar
-0.007,-0.082,-0.626,-0.968,-0.449,-0.339,0.0,-1.343,-1.356,-0.0,-0.341,-0.514,-0.26,-0.867,1.033,-0.161,-0.996,0.013,-0.486,-0.482,-0.784,-0.372,-0.882,-0.521,-0.436,-0.79,0.606,0.018,-0.28,0.226,0.005,0.269,-0.8,0.008,-1.429,-0.618,noncar
0.208,0.16,-1.436,-0.004,-0.576,0.092,-0.007,0.659,1.433,0.707,-0.558,0.02,0.005,-0.386,0.008,0.03,-0.611,-0.007,-0.009,-1.516,-0.147,-0.611,-0.373,-0.053,0.153,-1.558,-0.195,-0.005,-0.89,-0.139,0.315,0.717,1.633,0.524,1.125,-0.007,noncar
0.526,-0.325,-0.95,0.601,0.058,0.002,0.004,0.211,-0.342,0.032,-0.341,-0.004,-0.132,0.005,-0.248,-0.122,-0.225,-0.002,0.0,-1.102,0.044,0.963,-0.079,0.002,-0.216,-1.005,-0.73,-0.141,-1.297,-0.144,-0.0,1.276,0.498,0.271,0.453,-0.027,car
0.168,1.132,1.643,-0.204,1.326,0.022,-0.091,1.257,0.419,0.631,0.529,0.05,0.903,1.298,-1.272,-0.153,1.318,0.367,-0.095,1.171,1.286,0.06,1.319,-0.001,-0.189,2.283,-0.062,-0.445,-0.28,0.014,-0.072,0.381,-0.151,-0.215,0.049,-0.18,car
-0.423,-1.054,-1.76,0.014,-1.844,0.293,-0.0,-1.253,-0.468,0.222,-0.558,-0.023,-0.319,-1.589,2.185,0.026,-1.382,0.704,-0.302,-1.86,-1.644,-0.423,-1.375,-0.382,0.986,-1.466,-0.329,-0.963,-0.687,-0.02,0.922,0.829,-0.638,0.009,-0.892,-0.001,car
-0.321,0.16,-1.112,0.751,-1.02,-0.053,0.118,-1.283,-1.229,-0.762,-0.123,-0.397,0.0,-1.078,1.417,0.238,-0.996,-0.041,-0.012,-0.551,-0.975,-0.076,-1.058,-0.198,-0.005,-1.066,0.74,0.095,0.94,0.085,0.091,-0.515,-0.8,0.059,-1.698,0.0,noncar
-0.144,1.253,2.129,0.107,1.326,-0.678,0.254,1.824,0.926,0.06,0.529,0.004,-0.357,1.509,-1.4,-0.221,1.704,-0.001,0.01,1.929,1.35,-0.001,1.563,0.001,-0.448,2.191,-0.195,0.02,0.127,0.633,0.001,-0.963,-0.314,0.085,0.049,-0.063,car
-0.116,-1.175,-0.14,0.0,-0.132,-0.006,0.185,-0.865,-0.468,0.06,0.529,0.371,0.84,-0.386,0.393,0.014,-0.225,-0.544,-0.396,0.62,-0.721,-0.016,-0.515,-0.427,-0.651,0.04,0.205,0.175,-0.28,-0.037,0.07,0.493,-0.962,-0.041,-0.354,-0.11,noncar
0.16,0.039,-0.302,0.088,-0.893,-0.31,-0.381,0.032,0.673,-0.311,-0.558,0.001,-0.033,-0.807,0.649,-0.005,-0.996,-0.0,-0.002,-0.413,-0.784,0.003,-0.735,0.036,-0.011,0.071,-0.997,-0.117,0.737,-0.095,0.149,-0.515,1.471,-0.408,0.99,0.099,noncar
-0.397,-0.082,0.347,0.67,0.185,-0.004,-0.485,-0.237,0.419,0.498,0.746,0.19,-0.0,-0.416,0.265,-0.0,-0.611,0.852,0.182,0.62,-0.307,-0.101,-0.486,-0.0,0.003,0.101,0.473,-0.658,-0.89,-0.11,0.004,-0.403,-0.8,-0.862,0.049,0.032,noncar
-0.388,2.225,0.833,0.017,1.77,0.001,0.141,0.51,-0.722,0.363,0.529,-0.91,0.169,1.358,-1.272,-0.061,1.318,0.0,-0.152,0.758,1.382,0.027,1.336,0.082,0.117,0.869,-0.195,0.09,2.363,0.149,-0.093,1.612,0.335,-0.003,0.856,0.185,car
-0.007,-0.325,-1.436,0.046,-0.323,0.0,-0.001,-0.357,-0.722,-0.272,-0.341,0.0,0.023,-0.416,0.136,0.305,-0.611,0.059,-0.266,-1.516,-0.37,-0.118,-0.447,0.0,-0.045,-1.589,-0.997,-0.331,0.33,0.675,-0.579,0.269,0.984,0.169,0.722,0.052,car
0.384,-0.204,-0.302,-0.34,-0.83,0.158,0.0,-0.327,-0.722,-0.871,-0.341,-0.012,0.217,-0.597,0.393,0.453,-0.611,-0.009,0.456,-0.344,-0.593,-0.631,-0.605,0.626,-0.0,-0.206,-1.264,0.59,1.55,-0.11,-0.023,0.605,1.471,-0.001,0.99,-0.692,car
0.524,0.646,0.509,-0.234,1.389,0.005,-0.698,0.808,0.166,0.002,0.311,-0.001,-0.022,0.967,-1.016,-0.049,0.933,-0.21,0.914,0.276,1.031,-0.927,0.929,-0.407,0.0,0.747,0.072,0.001,0.33,-0.358,0.124,-0.963,-0.151,0.422,0.184,-0.0,car
-0.025,0.525,2.129,0.0,1.199,-0.521,0.929,1.167,0.419,-0.063,0.746,-0.0,-0.154,1.719,-1.4,0.0,1.704,0.57,-0.048,2.342,1.159,-0.005,1.744,-0.026,-0.845,1.269,-0.195,0.484,-0.077,0.715,-0.36,-1.299,-0.638,-0.834,0.049,-0.006,car
-0.072,-1.297,-1.274,0.056,-1.781,0.048,-0.035,-1.522,-0.849,-0.069,-0.993,0.97,-0.003,-1.198,1.417,-0.433,-0.996,0.719,0.002,-1.447,-1.358,0.09,-1.103,0.516,0.147,-1.066,1.14,-0.381,-0.483,-0.315,0.55,0.045,-1.449,-0.0,-1.564,-0.0,car
-0.026,-0.325,-0.95,-0.047,0.375,-0.044,-0.252,0.599,0.166,0.172,0.094,-0.268,-0.099,0.185,-0.376,0.003,0.161,0.71,0.98,-1.102,0.267,-0.471,0.097,-0.6,-0.16,-0.575,-0.462,0.375,-1.297,0.001,0.015,1.165,0.335,-0.092,0.318,-0.001,car
-0.21,-0.568,-0.788,0.062,-1.401,-0.074,-0.01,-1.134,-0.722,-0.081,-0.558,0.027,-0.355,-1.529,1.929,0.034,-1.382,0.73,-0.461,-0.758,-1.453,0.0,-1.307,0.643,-0.452,-0.667,-0.997,0.09,0.737,-0.215,0.232,-0.515,0.66,0.512,0.453,0.005,noncar
-0.254,-0.568,-1.598,-0.488,-0.766,-0.037,-0.031,-0.924,-0.468,0.033,-0.341,-0.316,0.0,-1.289,1.545,-0.346,-1.382,-0.001,0.633,-1.378,-1.326,0.004,-1.148,-0.649,-0.001,-1.927,-1.13,-0.0,-0.483,-0.369,0.054,0.717,1.633,0.497,1.528,-0.571,noncar
-0.169,1.132,0.671,-0.126,1.136,-0.001,-0.744,0.749,-0.215,-0.995,0.311,-0.152,0.003,0.486,-0.76,0.0,0.547,-0.079,0.234,0.827,0.426,-0.589,0.442,0.058,0.396,0.101,-1.397,0.0,1.347,0.001,-0.0,-0.515,1.471,0.077,1.663,-0.285,car
-0.066,-1.661,0.022,0.007,-0.703,-0.039,0.962,-1.223,-0.722,-0.364,-0.341,0.362,0.008,-0.537,0.521,0.286,-0.611,0.494,-0.008,-0.069,-0.561,-0.172,-0.582,-0.036,-0.465,0.04,0.873,0.0,-0.687,0.37,-0.009,0.381,-1.287,-0.201,-1.16,-0.987,noncar
-0.063,-0.932,-0.464,-0.059,-1.084,0.087,-0.0,-1.582,-1.102,0.248,-0.558,0.253,-0.003,-0.507,0.521,0.148,-0.611,-0.29,-0.105,-0.482,-0.434,0.0,-0.594,-0.593,-0.028,-0.083,1.675,0.677,-0.28,0.005,0.445,-0.963,-1.611,-0.582,-1.698,0.568,noncar
0.059,0.768,0.184,0.018,-0.069,0.001,-0.0,0.54,-0.088,-0.001,0.094,0.068,0.054,-0.085,-0.12,0.122,-0.225,-0.949,-0.148,0.413,0.012,-0.937,-0.141,0.005,-0.186,0.009,-1.264,-0.007,1.347,-0.061,0.013,-0.403,1.471,0.014,1.528,-0.0,car
-0.028,-0.932,-0.95,-0.832,-1.401,0.194,-0.068,-0.865,-0.215,-0.003,-0.341,0.18,-0.686,-1.499,1.801,-0.001,-1.382,-0.464,-0.199,-0.964,-1.549,0.015,-1.29,0.209,-0.0,-1.036,-1.531,0.251,0.127,0.101,0.004,-0.515,1.796,-0.154,1.528,-0.44,noncar
0.036,-1.297,-1.274,-0.077,-1.274,0.0,-0.002,-1.671,-1.102,0.023,-0.558,0.694,0.523,-1.409,1.801,-0.0,-1.382,-0.421,0.565,-1.309,-1.453,0.096,-1.256,-0.067,0.181,-1.22,0.873,0.006,-1.297,-0.224,0.085,-0.627,-1.287,-0.004,-1.429,-0.505,noncar
-0.067,-1.418,0.022,-0.141,-0.893,-0.018,0.389,-0.566,0.926,0.01,-0.775,-0.004,-0.003,-0.627,0.521,-0.141,-0.611,0.002,0.055,-0.275,-0.625,-0.008,-0.667,-0.0,-0.328,0.286,1.007,-0.696,-0.28,-0.0,0.007,-1.411,-1.287,-0.592,-1.564,-0.041,noncar
0.008,-0.082,0.347,-0.014,0.375,0.014,0.953,0.928,0.546,0.599,-0.341,-0.002,-0.018,0.125,-0.376,-0.109,0.161,-0.382,-0.81,0.207,0.267,-0.004,0.068,-0.001,0.109,0.931,-0.863,0.0,-1.297,-0.174,0.362,-1.075,0.984,-0.121,0.856,0.0,car
-0.133,-0.325,-0.302,0.022,0.375,0.052,-0.745,-0.357,-0.088,0.098,0.094,0.272,-0.893,-0.597,0.521,0.055,-0.611,0.074,-0.126,0.62,-0.753,0.231,-0.645,-0.155,0.2,-1.066,-1.13,0.398,-1.093,-0.359,-0.012,1.5,1.309,-0.094,1.528,0.013,noncar
0.556,0.282,0.022,0.015,-0.132,-0.142,0.221,-0.207,0.166,-0.855,0.094,-0.039,0.214,-0.687,0.649,-0.305,-0.611,0.007,-0.805,0.0,-0.88,0.113,-0.701,0.002,0.051,-0.421,-1.13,-0.038,-0.28,0.006,0.009,-0.291,1.633,0.113,1.528,0.002,noncar
0.072,1.618,1.967,-0.313,1.516,0.2,-0.0,0.301,-1.356,0.018,-0.123,0.395,-0.0,2.652,-1.912,0.0,2.861,0.046,-0.024,1.653,2.751,-0.748,2.91,-0.035,-0.036,1.76,1.407,0.004,-0.89,-0.775,0.331,0.829,-1.287,0.051,-1.564,0.169,noncar
-0.117,-0.811,-0.14,-0.024,-0.766,0.656,0.008,0.301,1.687,0.244,-0.558,0.129,-0.792,-0.687,0.521,-0.168,-0.611,0.611,0.015,-0.482,-0.689,0.744,-0.645,0.988,-0.301,0.101,-0.462,0.199,-0.077,0.002,0.002,-1.299,0.822,0.001,0.722,0.055,noncar
0.015,-1.297,0.184,-0.0,-0.576,0.063,-0.015,-0.954,-0.342,-0.071,-0.558,0.042,0.0,-0.627,0.521,-0.634,-0.611,0.009,0.383,-0.138,-0.689,-0.108,-0.639,0.82,0.324,0.255,0.339,-0.036,0.33,-0.0,-0.007,-1.411,-0.638,0.065,-0.623,0.015,noncar
-0.353,-0.932,-0.626,0.024,-1.02,0.327,-0.0,-1.193,-0.849,0.195,-0.341,0.051,0.0,-1.018,1.161,-0.007,-0.996,0.161,0.518,-0.827,-1.103,-0.044,-0.984,0.29,0.001,-0.298,0.205,-0.119,-0.687,-0.007,-0.014,-0.963,-1.449,-0.016,-1.16,0.568,car
-0.716,1.861,1.481,0.971,1.706,-0.002,-0.0,1.675,0.799,0.02,0.529,-0.044,-0.044,1.358,-1.272,-0.021,1.318,0.047,0.047,1.447,1.19,0.154,1.33,0.015,-0.134,1.146,-0.596,-0.019,0.94,-0.272,-0.169,2.172,0.011,0.076,0.856,0.212,car
-0.006,0.039,-1.274,0.072,-0.576,-0.367,-0.003,0.51,1.18,0.007,-0.341,-0.514,0.026,-0.446,0.136,-0.512,-0.611,-0.217,0.012,-1.447,-0.561,-0.052,-0.441,-0.005,-0.814,-1.312,-0.73,0.024,-0.89,0.824,0.0,-0.515,1.309,0.539,1.394,-0.088,noncar
0.586,0.768,-0.14,0.02,0.692,0.167,-0.071,0.719,0.039,-0.014,-0.123,-0.106,-0.035,0.516,-0.76,0.349,0.547,-0.993,0.989,-0.069,0.426,-0.001,0.459,-0.021,0.728,-0.728,-0.863,0.974,-1.297,0.001,-0.112,-1.187,0.66,0.06,0.318,-0.001,car
